model,dataset,val_f1,test_f1,test_bal_acc,luxury_recall,severe_misclassification_rate,best_params
xgboost,none,0.8583906752818917,0.8588665364895808,0.8563577667186278,0.8601550680786687,0.0022578590864354773,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.1}"
xgboost,smote,0.8563064789803564,0.8557019065335186,0.8576683623159429,0.8840771558245083,0.0025473282000810513,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.1}"
xgboost,undersample,0.8517458312981688,0.853056283832686,0.8586754015265775,0.9043116490166414,0.0027596055500878056,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}"
random_forest,none,0.8507083005491228,0.8315567826998457,0.8268740016549055,0.8179841149773072,0.0037052046546633475,"{'n_estimators': 300, 'min_samples_split': 10, 'max_depth': 30}"
random_forest,smote,0.8485408683263079,0.8295472501606446,0.8336108440729239,0.8711232980332829,0.004245547000135085,"{'n_estimators': 300, 'min_samples_split': 10, 'max_depth': 20}"
random_forest,undersample,0.8425103231108876,0.8268554768358899,0.832470890758624,0.8796331316187594,0.0043613346455933155,"{'n_estimators': 300, 'min_samples_split': 10, 'max_depth': 30}"
